route_id,stop_id,stop_sequence
1168_3,000000230185,5
1168_3,000000230278,6
1168_3,000000230186,7
1168_3,000000230187,8
1168_3,000000230050,9
1168_3,000000230051,10
1168_3,000000230052,11
1168_3,000000250133,12
1168_3,000000399211,13
1168_3,000000250239,14
1168_3,000000250661,15
1168_3,000000260170,16
1168_3,000000260018,17
1168_3,000000260017,18
1168_3,000000260015,19
1168_3,000000260012,20
1168_3,000000260166,21
1168_3,000000260167,22
1168_3,000000260009,23
1168_3,000000260008,24
1168_3,000000260007,25
1168_3,000000260006,26
1168_3,000000260005,27
1168_3,000000260003,28
1168_3,000000260002,29
1168_3,000000260001,30
1168_3,000000250227,31
1168_3,000000250098,32
1168_3,000000250099,33
1168_3,000000250100,34
1168_3,000000250102,35
1168_3,000000250105,36
1169_3,000000300107,0
1169_3,000000300104,1
1169_3,000000300103,2
1169_3,000000300102,3
1169_3,000000300018,4
1169_3,000000300135,5
1169_3,000000300136,6
1169_3,000000300230,7
1169_3,000000300137,8
1169_3,000000300075,9
1169_3,000000300076,10
1169_3,000000300077,11
1169_3,000000300078,12
1169_3,000000300079,13
1169_3,000000250103,14
1169_3,000000250141,15
1169_3,000000250108,16
1169_3,000000250109,17
1169_3,000000250110,18
1169_3,000000250227,19
1169_3,000000260116,20
1169_3,000000260115,21
1169_3,000000260114,22
1170_3,000000250227,0
1170_3,000000250111,1
1170_3,000000250112,2
1170_3,000000250113,3
1170_3,000000250116,4
1170_3,000000250117,5
1170_3,000000250138,6
1170_3,000000250082,7
1170_3,000000300066,8
1170_3,000000300067,9
1170_3,000000300068,10
1170_3,000000300069,11
1170_3,000000300070,12
1170_3,000000300151,13
1170_3,000000300225,14
1170_3,000000300090,15
1170_3,000000300144,16
1170_3,000000300038,17
1170_3,000000300040,18
1170_3,000000300041,19
1170_3,000000300042,20
1170_3,000000300043,21
1170_3,000000300044,22
1170_3,000000640001,23
1170_3,000000640021,24
1171_3,000000290133,0
1171_3,000000290026,1
1171_3,000000290180,2
1171_3,000000290039,3
1171_3,000000290181,4
1171_3,000000290040,5
1171_3,000000290041,6
1171_3,000000290042,7
1171_3,000000290008,8
1171_3,000000290043,9
1171_3,000000290044,10
1171_3,000000290020,11
1171_3,000000290021,12
1171_3,000000290023,13
1171_3,000000290024,14
1171_3,000000290025,15
1171_3,000000290010,16
1173_3,000000340052,0
1173_3,000000350110,1
1173_3,000000350026,2
1173_3,000000350027,3
1173_3,000000350028,4
1173_3,000000350029,5
1173_3,000000350030,6
1173_3,000000350031,7
1173_3,000000350032,8
1173_3,000000350033,9
1173_3,000000350034,10
1173_3,000000350035,11
1173_3,000000350037,12
1173_3,000000350038,13
1173_3,000000350039,14
1173_3,000000350040,15
1173_3,000000350151,16
1173_3,000000350257,17
1173_3,000000340016,18
1173_3,000000340083,19
1173_3,000000340084,20
1173_3,000000340032,21
1174_3,000000350256,0
1174_3,000000350258,1
1174_3,000000350041,2
1174_3,000000350042,3
1174_3,000000350043,4
1174_3,000000350044,5
1174_3,000000350045,6
1174_3,000000350046,7
1174_3,000000350047,8
1174_3,000000350048,9
1174_3,000000350049,10
1174_3,000000350050,11
1174_3,000000350051,12
1174_3,000000350052,13
1174_3,000000350054,14
1174_3,000000350055,15
1174_3,000000350056,16
1174_3,000000350109,17
1174_3,000000340032,18
1175_3,000000360330,0
1175_3,000000360027,1
1175_3,000000360050,2
1175_3,000000360049,3
1175_3,000000360048,4
1175_3,000000360090,5
1175_3,000000360502,6
1175_3,000000360044,7
1175_3,000000360043,8
1175_3,000000360041,9
1175_3,000000360040,10
1175_3,000000370179,11
1175_3,000000370178,12
1175_3,000000370040,13
1175_3,000000370041,14
1175_3,000000370042,15
1175_3,000000370078,16
1175_3,000000370080,17
1175_3,000000370081,18
1175_3,000000370088,19
1175_3,000000370089,20
1175_3,000000370091,21
1175_3,000000370094,22
1175_3,000000370202,23
1175_3,000000379393,24
1175_3,000000383533,25
1175_3,000000370096,26
1175_3,000000370210,27
1175_3,000000370551,28
1175_3,000000370097,29
1175_3,000000370371,30
1175_3,000000370390,31
1175_3,000000370391,32
1175_3,000000370560,33
1175_3,000000370563,34
1175_3,000000370564,35
1175_3,000000370558,36
1175_3,000000370565,37
1176_3,000000370442,0
1176_3,000000371912,1
1176_3,000000370077,2
1176_3,000000371951,3
1176_3,000000990074,4
1176_3,000000990075,5
1176_3,000000990076,6
1176_3,000000990077,7
1176_3,000000990078,8
1176_3,000000990079,9
1176_3,000000990080,10
1176_3,000000990081,11
1176_3,000000990082,12
1176_3,000000990083,13
1176_3,000000990084,14
1176_3,000000998001,15
1176_3,000000998002,16
1176_3,000000990085,17
1176_3,000000990086,18
1176_3,000000997001,19
1176_3,000000990088,20
1176_3,000000990090,21
1176_3,000000990091,22
1177_3,000000290134,0
1177_3,000000290026,1
1177_3,000000290027,2
1177_3,000000290030,3
1177_3,000000270034,4
1177_3,000000270039,5
1177_3,000000270040,6
1177_3,000000270043,7
1177_3,000000270046,8
1177_3,000000270047,9
1177_3,000000280231,10
1177_3,000000280230,11
1177_3,000000280045,12
1177_3,000000280053,13
1177_3,000000280055,14
1177_3,000000280056,15
1177_3,000000230036,16
1177_3,000000250001,17
1177_3,000000250681,18
1177_3,000000250003,19
1177_3,000000250005,20
1177_3,000000220152,21
1177_3,000000220153,22
1177_3,000000220087,23
1177_3,000000610103,24
1177_3,000000610095,25
1177_3,000000100039,26
1177_3,000000100024,27
1177_3,000000100025,28
1177_3,000000100028,29
1177_3,000000110001,30
1177_3,000000110002,31
1177_3,000000110021,32
1177_3,000000110085,33
1178_3,000000210030,0
1178_3,000000210031,1
1178_3,000000210084,2
1178_3,000000210085,3
