,0
780045951301,4
780003060104,1
000000700059,1
780005009501,1
780003810501,1
000000971502,1
780002700202,1
000000220018,2
780003260301,3
000000025071,7
000000810034,1
000000972261,1
000000320382G,1
780003490301,7
000000810145,1
780003600202,1
000000920128,1
000000970100,1
000011728001,1
780003600401,1
780006320401,3
780009090202,1
800000375007,2
000000860027G,5
000000970111,1
780025008701,1
780007971301,3
000000610123,2
900000350071,1
090000909010,1
900000851876,1
780004800502,2
900000750911,3
000000600064,2
000000350119,1
780002840401,1
780003500502,1
800000378221,2
780043950001,3
800000375117,1
000000710133,1
000000810741,1
900000600021,1
780051953601,1
780003490703,1
780004070901,2
000008003777,1
000000640023,3
900000751066,1
780049000101,4
780055055801,1
780009402201,1
000000900124,1
000000720066,1
000000539335,1
000000800323,1
000000410066,1
000000720562,2
900000802386,3
900000809902,2
780003620202,2
000000970002,4
780004504101,3
000000371865,1
000000970972,1
000000840048,1
780003550302,7
780007061601,9
000000800166,2
780008320102,3
780005030802,1
000000529304,1
780005550801,2
000000630111,1
800000375475,4
000000320077G,1
000000720104,2
780003700202,3
000000800107,1
780003270501,1
000000998521,2
780009403102,5
900000755531,1
780002820102,2
800000375055,2
000000220138,2
780043960902,1
000000540092,2
780005260501,2
900000751091,3
900000805851,4
780008770202,3
780003510402,3
000000830015G,3
780004080301,4
780025011801,1
780055055901,2
780007502902,1
000000800217,1
800000375449,2
000000230122,1
000000970101,1
000000110623G,1
780015006302,6
780008500601,7
780006363704,1
780003340201,2
000000370550,2
900000750691,3
000000260077,1
000008006527,1
000000970027,1
780082510101,1
000000840122,2
780005990102,4
000000710027,1
000000430099,1
000000920049,1
800000375440,1
780005100801,1
000000970065,2
780081464101,1
000000360027,3
900000857561,2
780009561101,2
780004260501,1
000347566102,2
780005090301,4
000000370153,1
000000600086,2
780003506901,1
000000910028,2
000000820189,1
780015008902,17
000000650035,1
000000800249G,2
900000851356,2
000000860022,1
900000801306,3
000000280247,1
000000980037,2
000000360070,1
780015009802,6
000000370486,1
780005721302,4
780006370101,11
780008911401,4
000000710305,1
000000220185,2
000000971551,2
000000400019,2
780007350902,1
000000360057,3
780015480101,1
900000552411,2
000008002575,1
780009150102,1
000000000747,1
000000840029,1
900000805666,1
900000802496,2
780002970101,2
900000857281,3
780015130302,3
780004504801,5
780006270501,3
780055055702,1
780008020102,1
000000100029,1
000000970982,1
780051958502,1
000008001170,1
900000756051,1
000000900102,2
780008090202,2
000000990035,1
000000810099,2
000000998371,1
000008001718,2
000000310119,1
000000430136,1
000000900108,4
780003010302,1
780003030201,2
000000610210,1
000000850019,6
000000240097,1
000000809105,3
780003870301,4
000000370050,2
800000375215,1
000000710240,2
000000500025,7
000000700146,3
000000110021,4
000000710227,2
000000920141,4
000000110119,3
900000851261,1
720000050111,1
000000820048,3
900000851606,2
000000971652,1
