route_id,stop_id,stop_sequence
1189_3,000000310121,7
1189_3,000000310123,8
1189_3,000000310127,9
1189_3,000000310131,10
1189_3,000000320134,11
1189_3,000000320051,12
1189_3,000000320144,13
1189_3,000000320052,14
1189_3,000000320053,15
1189_3,000000320054,16
1189_3,000000320017,17
1189_3,000000320018,18
1189_3,000000320084,19
1189_3,000000320073,20
1189_3,000000640002,21
1189_3,000000640023,22
1189_3,000000640028,23
1189_3,000000640029,24
1189_3,000000640030,25
1189_3,000000640031,26
1189_3,000000640033,27
1189_3,000000640034,28
1189_3,000000640035,29
1189_3,000000640038,30
1189_3,000000640066,31
1189_3,000000640108,32
1190_3,000000290131,0
1190_3,000000290075,1
1190_3,000000290076,2
1190_3,000000290077,3
1190_3,000000290078,4
1190_3,000000290079,5
1190_3,000000290080,6
1190_3,000000290523,7
1190_3,000000290203,8
1190_3,000000290184,9
1190_3,000000290185,10
1190_3,000000290186,11
1190_3,000000297004,12
1190_3,000000290131,13
1191_3,000000280131,0
1191_3,000000280132,1
1191_3,000000280013,2
1191_3,000000280042,3
1191_3,000000280044,4
1191_3,000000280230,5
1191_3,000000280238,6
1191_3,000000280851,7
1191_3,000000280821,8
1191_3,000000280831,9
1191_3,000000270381,10
1191_3,000000270351,11
1191_3,000000270361,12
1191_3,000000270371,13
1194_3,000000360328,0
1194_3,000000360023,1
1194_3,000000360345,2
1194_3,000000360346,3
1194_3,000000360041,4
1194_3,000000360040,5
1194_3,000000370137,6
1194_3,000000370454,7
1194_3,000000371962,8
1194_3,000000370164,9
1194_3,000000370000,10
1194_3,000000370260,11
1194_3,000000370262,12
1194_3,000000370279,13
1194_3,000000370407,14
1194_3,000000370170,15
1194_3,000000370409,16
1194_3,000000370172,17
1194_3,000000370173,18
1194_3,000000370174,19
1194_3,000000370175,20
1194_3,000000360114,21
1194_3,000000360112,22
1194_3,000000360111,23
1194_3,000000360109,24
1194_3,000000360106,25
1194_3,000000360122,26
1194_3,000000360105,27
1194_3,000000920028,28
1194_3,000000920067,29
1195_3,000000360035,0
1195_3,000000360034,1
1195_3,000000360087,2
1195_3,000000360031,3
1195_3,000000360030,4
1195_3,000000360029,5
1195_3,000000360150,6
1195_3,000000360317,7
1195_3,000000360328,8
1195_3,000000360138,9
1195_3,000000360129,10
1195_3,000000360018,11
1195_3,000000360016,12
1195_3,000000360015,13
1195_3,000000360082,14
1195_3,000000360083,15
1195_3,000000360322,16
1195_3,000000360324,17
1195_3,000000360359,18
1196_3,000000988002,0
1196_3,000000988003,1
1196_3,000000980040,2
1196_3,000000988005,3
1196_3,000000980042,4
1196_3,000000980043,5
1196_3,000000980044,6
1196_3,000000988008,7
1196_3,000000980045,8
1196_3,000000980046,9
1196_3,000000980047,10
1196_3,000000980048,11
1196_3,000000980049,12
1196_3,000000980050,13
1196_3,000000990050,14
1196_3,000000990051,15
1196_3,000000990052,16
1196_3,000000990046,17
1196_3,000000990043,18
1198_3,000000200001,0
1198_3,000000200002,1
1198_3,000000200003,2
1198_3,000000200004,3
1198_3,000000200005,4
1198_3,000000200006,5
1198_3,000000200007,6
1198_3,000000200261,7
1198_3,000000230188,8
1198_3,000000230169,9
1198_3,000000230170,10
1198_3,000000230172,11
1198_3,000000230173,12
1198_3,000000230174,13
1198_3,000000200009,14
1198_3,000000200011,15
1198_3,000000200012,16
1198_3,000000200013,17
1198_3,000000200014,18
1198_3,000000200015,19
1198_3,000000200016,20
1198_3,000000200085,21
1198_3,000000200018,22
1198_3,000000200019,23
1198_3,000000200020,24
1198_3,000000200022,25
1198_3,000000200029,26
1199_3,000000240209,0
1199_3,000000240162,1
1199_3,000000240163,2
1199_3,000000240164,3
1199_3,000000240165,4
1199_3,000000240124,5
1199_3,000000240254,6
1199_3,000000240220,7
1199_3,000000240221,8
1199_3,000000240222,9
1199_3,000000240223,10
1199_3,000000240224,11
1199_3,000000240250,12
1199_3,000000240239,13
1199_3,000000240240,14
1199_3,000000240241,15
1199_3,000000240242,16
1199_3,000000240178,17
1199_3,000000240179,18
1199_3,000000240255,19
1199_3,000000240180,20
1199_3,000000240181,21
1200_3,000000240060,0
1200_3,000000240056,1
1200_3,000000240057,2
1200_3,000000240251,3
1200_3,000000240041,4
1200_3,000000240042,5
1200_3,000000240043,6
1200_3,000000240044,7
1200_3,000000240045,8
1200_3,000000240048,9
1200_3,000000240049,10
1200_3,000000240050,11
1200_3,000000240051,12
1200_3,000000240052,13
1200_3,000000240245,14
1202_3,000000290133,0
1202_3,000000290050,1
1202_3,000000290051,2
1202_3,000000290052,3
1202_3,000000290016,4
1202_3,000000290017,5
1202_3,000000290031,6
1202_3,000000290032,7
1202_3,000000290007,8
1202_3,000000290033,9
1202_3,000000290034,10
1202_3,000000290035,11
1202_3,000000290182,12
1202_3,000000290036,13
1202_3,000000290037,14
1202_3,000000290006,15
1202_3,000000290010,16
1203_3,000000650103,0
1203_3,000000658002,1
1203_3,000000320149,2
1203_3,000000640049,3
1203_3,000000640114,4
1203_3,000000640047,5
1203_3,000000650074,6
1207_3,000000360266,0
1207_3,000000360115,1
1207_3,000000370550,2
1207_3,000000370180,3
1207_3,000000370545,4
1207_3,000000728001,5
1207_3,000000728003,6
1207_3,000000720022,7
1207_3,000000370183,8
1207_3,000000370568,9
1207_3,000000370446,10
1207_3,000000370447,11
1207_3,000000370444,12
1207_3,000000370448,13
1207_3,000000370449,14
1208_3,000000920067,0
1208_3,000000920082,1
1208_3,000000360140,2
1208_3,000000360097,3
1208_3,000000360098,4
1208_3,000000360099,5
1208_3,000000361002,6
1208_3,000000360087,7
1208_3,000000360348,8
1208_3,000000360349,9
1208_3,000000360350,10
1208_3,000000360150,11
1208_3,000000360317,12
1209_3,000000370383,0
1209_3,000000370384,1
1209_3,000000370385,2
1209_3,000000370386,3
1209_3,000000370155,4
1209_3,000000370179,5
1209_3,000000370178,6
1211_3,000000220113,0
1211_3,000000220114,1
1211_3,000000220093,2
1211_3,000000220104,3
1211_3,000000220105,4
1211_3,000000220106,5
1211_3,000000250126,6
1211_3,000000250127,7
1211_3,000000250128,8
1211_3,000000250022,9
1211_3,000000250411,10
1211_3,000000250237,11
1212_3,000000260091,0
1212_3,000000250237,1
1213_3,000000350085,0
1213_3,000000350082,1
1213_3,000000350095,2
1213_3,000000350237,3
1213_3,000000350239,4
1213_3,000000320001,5
1213_3,000000330220,6
1213_3,000000330224,7
1213_3,000000330145,8
1213_3,000000310172,9
1213_3,000000310219,10
1213_3,000000310127,11
1213_3,000000310131,12
1213_3,000000320134,13
1213_3,000000320051,14
1213_3,000000320144,15
1213_3,000000320052,16
1213_3,000000320053,17
1213_3,000000320054,18
1213_3,000000320017,19
1213_3,000000320018,20
1213_3,000000320000,21
1213_3,000000320038,22
1217_3,000000340016,0
1217_3,000000340083,1
1217_3,000000340084,2
1217_3,000000340032,3
1217_3,000000340053,4
1217_3,000000340004,5
1217_3,000000350231,6
1217_3,000000350232,7
1217_3,000000350022,8
1217_3,000000350244,9
1217_3,000000350245,10
1217_3,000000352441,11
1217_3,000000350246,12
1217_3,000000350247,13
1217_3,000000350248,14
1217_3,000000350722,15
1217_3,000000350249,16
1217_3,000000350250,17
1217_3,000000350253,18
1217_3,000000350251,19
1218_3,000000370164,0
1218_3,000000370000,1
1218_3,000000370260,2
1218_3,000000370262,3
1218_3,000000370279,4
1218_3,000000370407,5
1218_3,000000370170,6
1218_3,000000370409,7
1218_3,000000370172,8
1218_3,000000370173,9
1218_3,000000370174,10
1218_3,000000370175,11
1218_3,000000360114,12
1218_3,000000360266,13
1219_3,000000370100,0
1219_3,000000370119,1
1219_3,000000370552,2
1219_3,000000370161,3
1219_3,000000370209,4
1219_3,000000379393,5
1219_3,000000383514,6
1219_3,000000370195,7
1219_3,000000370121,8
1219_3,000000370124,9
1219_3,000000370125,10
1219_3,000000370126,11
1219_3,000000370085,12
1220_3,000000370442,0
1220_3,000000371912,1
1220_3,000000370077,2
1220_3,000000990108,3
1220_3,000000990109,4
1220_3,000000990110,5
1220_3,000000990111,6
1220_3,000000990112,7
1220_3,000000990113,8
1220_3,000000998009,9
1220_3,000000990114,10
1220_3,000000990115,11
1220_3,000000990116,12
1220_3,000000990117,13
1220_3,000000990118,14
1220_3,000000990822,15
1220_3,000000990812,16
1220_3,000000990802,17
1220_3,000000990782,18
1220_3,000000990041,19
1220_3,000000990046,20
1220_3,000000990043,21
1221_3,000000250235,0
1221_3,000000250681,1
1221_3,000000250003,2
1221_3,000000250037,3
1221_3,000000250038,4
1221_3,000000250039,5
1221_3,000000250069,6
1221_3,000000250075,7
1221_3,000000250076,8
1221_3,000000250077,9
1221_3,000000220082,10
1221_3,000000220083,11
1221_3,000000220084,12
1221_3,000000220085,13
1221_3,000000220087,14
1221_3,000000220058,15
1221_3,000000220126,16
1221_3,000000220127,17
1221_3,000000220128,18
1221_3,000000220177,19
1221_3,000000220130,20
1221_3,000000220132,21
1221_3,000000220133,22
1221_3,000000220134,23
1221_3,000000220136,24
1221_3,000000220144,25
1221_3,000000610082,26
1221_3,000000610088,27
1221_3,000000610218,28
1221_3,000000610089,29
1221_3,000000610136,30
1221_3,000000610133,31
1221_3,000000610095,32
1221_3,000000610094,33
1221_3,000000610093,34
1221_3,000000100018,35
1221_3,000000100212,36
1221_3,000000100039,37
1221_3,000000100024,38
1221_3,000000100025,39
1221_3,000000100028,40
1221_3,000000110001,41
1221_3,000000110002,42
1221_3,000000110021,43
1222_3,000000370566,0
1222_3,000000370567,1
1222_3,000000370561,2
1222_3,000000370399,3
1222_3,000000370389,4
1222_3,000000370119,5
1222_3,000000370552,6
1222_3,000000370209,7
1222_3,000000370120,8
1222_3,000000371982,9
1222_3,000000371972,10
1222_3,000000370124,11
1222_3,000000370125,12
1222_3,000000370126,13
